source_id,название,тип источника,юрисдикция,орган или автор,дата,номер,URL,официальный статус,статус действия,раздел доклада,подтверждаемое утверждение,качество источника,ограничения
S018,Приказ Минздрава России от 05.08.2003 № 330 «О мерах по совершенствованию лечебного питания в лечебно-профилактических учреждениях Российской Федерации»,Приказ,РФ,Минздрав России,05.08.2003,330,https://brace-lf.com/informaciya/farmatsevticheskoe-i-meditsinskoe-pravo/lechebnoe-pitanie-pravovoe-regulirovanie,Аналитический обзор (вспом.),Действует (частично),Гл.10,Номенклатура стандартных диет; таблицы взаимозаменяемости; Совет по лечебному питанию,C,Адресат — ЛПУ; вторичный источник
S019,Приказ Минфина России от 30.03.2015 № 52н «Об утверждении форм первичных учетных документов и регистров бухгалтерского учета…» (форма 0504202),Приказ,РФ,Минфин России,30.03.2015,52н,https://www.consultant.ru/document/cons_doc_LAW_7445/c39139e7776b3813f447ac36c62233ec8ed5e265/,КонсультантПлюс (вспом.),"Действует (ред. от 15.06.2020 № 103н, применяется с 27.09.2020)",Гл.14,Меню-требование на выдачу продуктов питания (ОКУД 0504202) — форма первичного документа; учреждение вправе утвердить собственные формы,B,-
S020,"УК РФ от 13.06.1996 № 63-ФЗ: ст. 159, 160, 238, 285, 286, 293",Кодекс,РФ,Госдума/Президент РФ,13.06.1996,63-ФЗ,https://www.consultant.ru/document/cons_doc_LAW_10699/,КонсультантПлюс (вспом.),Действует,Гл.15,"Составы должностных и иных преступлений, релевантных рискам руководителя; ст.293 — халатность (крупный ущерб от 1,5 млн руб.)",B,-
S021,КоАП РФ от 30.12.2001 № 195-ФЗ: ст. 6.6 (нарушение санитарно-эпидемиологических требований к организации питания населения),Кодекс,РФ,Госдума/Президент РФ,30.12.2001,195-ФЗ,https://www.kashin.info/prokuratura-informiruet/novosti-prokuratury/9121-prokuraturoj-vyyavleny-narusheniya-zakonodatelstva-pri-organizatsii-pitaniya-detej-v-sotsialno-reabilitatsionnom-tsentre,Применение подтверждено сообщением прокуратуры,Действует,"Гл.14,15",Квалификация нарушений санитарных требований к питанию по ст.6.6 КоАП (предупреждение/штраф; на юрлицо 5 тыс. руб. в приведенном случае),B,Реквизиты нормы подтверждены через практику применения
S022,"Конвенция ООН о правах инвалидов (Нью-Йорк, 13.12.2006; ратифицирована РФ ФЗ от 25.04.2012 № 46-ФЗ)",Международный договор,ООН,ООН,13.12.2006,-,https://www.un.org/ru/documents/decl_conv/conventions/disability.shtml,Официальный сайт ООН (рус.),Действует для РФ,"Гл.7,9,16","Ст.12 (правоспособность, поддержка), ст.17 (личная целостность), ст.19 (самостоятельный образ жизни)",A,-
S023,"Замечание общего порядка № 1 (2014) Комитета ООН по правам инвалидов о ст.12 (CRPD/C/GC/1, принято 11.04.2014)",Толкование договорного органа,ООН,Комитет ООН по правам инвалидов,11.04.2014,CRPD/C/GC/1,https://www.ohchr.org/en/documents/general-comments-and-recommendations/general-comment-no-1-article-12-equal-recognition-1,Официальный сайт УВКПЧ,Действует (толкование),"Гл.7,9",Сдвиг от замещающего к поддерживаемому принятию решений; гарантии уважения воли и предпочтений,A,Замечание не является юридически обязательной нормой; позиция дискуссионна (см. S025)
S024,"Health and Social Care Act 2008 (Regulated Activities) Regulations 2014, Regulation 14; руководство CQC «Meeting nutritional and hydration needs»",Законодательство/руководство регулятора,Великобритания,CQC,2014 (ред.),Reg.14,https://www.cqc.org.uk/guidance-regulation/providers/regulations-service-providers-and-managers/health-social-care-act/regulation-14,Официальный сайт CQC,Действует,Гл.9,Обязанность удовлетворять потребности в питании; право выбора рациона; учет религиозных/культурных предпочтений; отказ от пищи и best interests (MCA 2005),A,-
S025,"Series L. et al. «Article 12 CRPD: Equal Recognition before the Law» (Oxford University Press, 2018; комментарий к КПИ)",Научная публикация,Международная,Oxford/NCBI,2018,PMID 30933458,https://www.ncbi.nlm.nih.gov/books/NBK539188/,Рецензируемый комментарий (NCBI Bookshelf),Действует,"Гл.7,9",Дискуссия о соотношении поддерживаемого и замещающего принятия решений; MCA 2005 как функциональный подход; интерпретационные декларации государств,A,-
S026,"Cichero J.A.Y. et al. «Development of International Terminology and Definitions for Texture-Modified Foods and Thickened Fluids…: The IDDSI Framework» (Dysphagia, 2017;32(2):293–314)",Научная публикация,Международная,IDDSI,2017,PMID 27913916,https://pubmed.ncbi.nlm.nih.gov/27913916/,PubMed (рецензируемая статья),Действует,"Гл.9,10",Международная рамка IDDSI: 8 уровней (0–7) текстур пищи и густоты напитков при дисфагии,A,-
S027,Приказ Департамента социальной защиты населения г. Москвы от 24.12.2014 № 1068 «Об утверждении Норм питания получателей социальных услуг в стационарной форме…»,Приказ субъекта РФ,Москва,ДСЗН Москвы,24.12.2014,1068,https://www.garant.ru/products/ipo/prime/doc/70784358/,Гарант (вспом.),Действует (на дату проверки; требует перепроверки перед применением),"Гл.8,12",Нормы питания для стационарных организаций Москвы с отдельной нормой для психоневрологических организаций,B,-
S028,Постановление Правительства Санкт-Петербурга от 30.06.2016 № 530 «О размере платы за предоставление социальных услуг…»; Закон СПб от 24.12.2014 № 717-135,Акты субъекта РФ,Санкт-Петербург,Правительство СПб / ЗС СПб,30.06.2016,530,https://www.kcsonp.ru/images/2024/Info_postavchik_uslug/oplata2024.pdf,Официальный сайт ГБУ КЦСОН (документ),Действует,"Гл.8,12","Стационарная форма: плата 35% тарифа, но не более 75% среднедушевого дохода; расчет дохода по ПП РФ № 1075",B,-
S029,Приказ Комитета по социальной защите Псковской области от 14.07.2020 № 206 «Об утверждении норм питания в организациях социального обслуживания Псковской области»,Приказ субъекта РФ,Псковская область,КСЗ Псковской обл.,14.07.2020,206,https://faolex.fao.org/docs/pdf/rus203529.pdf,"FAOLEX (официальная база ФАО, текст акта)",Действует,"Гл.8,10,12",Нормы питания для ПНИ; надбавка 10–15% по медпоказаниям; допускается использование норм лечебного питания по приказу № 395н,A,-
S030,"Приказ Министерства по делам семьи, демографической и социальной политики Калужской области (нормы питания), № 1006",Приказ субъекта РФ,Калужская область,Министерство Калужской обл.,н/д,1006,https://git40.rostrud.gov.ru/upload/iblock/ffa/1006.docx,"Официальный портал Роструда (Калужская обл.), файл акта",Действует,"Гл.8,10",В ПНИ — 4-разовое питание; при лечебном — 5-разовое; Совет по лечебному питанию в учреждении; замены до 30% говядины,B,Дата подписания не видна в выдаче; требуется перепроверка реквизитов
S031,Постановление Правительства Красноярского края от 17.12.2014 № 607-п «Об утверждении норм питания в краевых учреждениях социального обслуживания»,Постановление субъекта РФ,Красноярский край,Правительство края,17.12.2014,607-п,https://ctonus.ru/f/normy_pitaniya.docx,"Текст акта (файл, вспом. размещение)",Действует (ред. от 14.10.2021 № 730-п),Гл.8,Отдельные нормы питания для ПНИ и геронтопсихиатрических центров,B,Размещение на неофициальном сайте; реквизиты сверены по тексту акта
S032,Приказ комитета по социальной защите населения Ленинградской области от 30.12.2021 № 04-58 (нормы питания и мягкого инвентаря),Приказ субъекта РФ,Ленинградская область,КСЗН Ленобласти,30.12.2021,04-58,https://kszn.lenobl.ru/media/content/docs/6018/04_58_%D0%9D%D0%BE%D1%80%D0%BC%D0%B0%D1%82%D0%B8%D0%B2_%D0%BC%D1%8F%D0%B3%D0%BA%D0%B8%D0%B9_%D0%B8%D0%BD%D0%B2%D0%B5%D0%BD%D1%82%D0%B0%D1%80%D1%8C_%D0%B8_%D0%BD%D0%BE%D1%80%D0%BC%D1%8B_%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F.docx,Официальный сайт КСЗН Ленобласти,Действует,"Гл.8,10",Нормы лечебного питания в геронтологических центрах; нормы для лиц на зондовом питании с формулой ДРЭ,A,-
S033,Постановление Правительства ХМАО — Югры от 22.08.2014 № 306-п «О нормах питания получателей социальных услуг…» (изм. от 12.08.2024),Постановление субъекта РФ,ХМАО — Югра,Правительство ХМАО,22.08.2014,306-п,https://consultantugra.ru/novoe-v-regionalnom-zakonodatelstve-za-period-s-12-po-16-avgusta-2024-g/,Обзор регионального законодательства (вспом.),Действует (изм. 12.08.2024),Гл.8,Существование и обновление окружных норм питания в стационарной и полустационарной формах,B,Содержание норм по выдаче проверено частично
S034,ГАУССО НСО «Болотнинский психоневрологический интернат»: новость «Вариативное питание» от 16.08.2024,Материал учреждения,Новосибирская область,ГАУССО НСО,16.08.2024,-,https://bpni.nso.ru/news/2312,Официальный сайт учреждения,Актуально,"Гл.8,10,11","Подтвержденная практика: с 2024 г. несколько раз в неделю выбор блюд (завтрак/обед), перечень определяет медсестра диетическая",A,Новость учреждения; не НПА
S035,Прокуратура Кашинского района Тверской области: сообщение о выявленных нарушениях при организации питания в социально-реабилитационном центре (13.07.2022),Контрольная практика,Тверская область,Прокуратура,13.07.2022,-,https://www.kashin.info/prokuratura-informiruet/novosti-prokuratury/9121-prokuraturoj-vyyavleny-narusheniya-zakonodatelstva-pri-organizatsii-pitaniya-detej-v-sotsialno-reabilitatsionnom-tsentre,Официальное сообщение прокуратуры (региональное СМИ-агрегатор),Актуально,"Гл.14,15","Типичные нарушения: хранение недоброкачественных продуктов, отсутствие суточных проб; представление, дисциплинарная ответственность, ст.6.6 КоАП",B,Детское учреждение — косвенная аналогия
S036,"КСП Вологодской области: проверка финансовой деятельности БУСО ВО «Кадниковский детский дом-интернат, предназначенный для граждан, имеющих психические расстройства» (2025)",Контрольная практика,Вологодская область,КСП Вологодской обл.,2025,-,https://www.kspvo.ru/activity/results-external-control/proverka-finansovoy-deyatelnosti-byudzhetnogo-uchrezhdeniya-sotsialnogo-obsluzhivaniya-vologodskoy-o/,Официальный сайт КСП,Актуально,"Гл.13,14,15","Типичные финансово-закупочные нарушения в учреждении профиля ПНИ: НМЦК без протокола, неустойки, ЕИС, ПФХД",A,-
S037,Контрольно-счетная палата Владивостока / УФАС по Приморскому краю: материалы проверок закупок питания; картель поставщиков (2021–2026),Контрольная практика,Приморский край,"КСП Владивостока, УФАС",21.01.2026,-,https://www.newsvl.ru/vlad/2026/01/21/236338/,СМИ со ссылкой на КСП (вспом.),Актуально,"Гл.13,15",Картельные сговоры в закупках питания; риски дробления закупок; уголовные дела поставщиков,B,Детсады — косвенная аналогия
S038,Постановление Конституционного Суда РФ от 24.05.2021 № 21-П (проверка ч.1 ст.293 УК РФ),Судебный акт,РФ,КС РФ,24.05.2021,21-П,https://www.consultant.ru/document/cons_doc_LAW_10699/33ed8a9caec9cd5b4c329b9a17409a19c583d4d4/,КонсультантПлюс (примечание к ст.293 УК),Действует,Гл.15,Конституционно-правовой смысл халатности: необходимость причинно-следственной связи и вины,B,Реквизиты подтверждены через примечание К+
S039,Кассационное постановление Пятого КСОУ от 27.07.2023 № 77-1175/2023 (отмена приговора по ч.2 ст.293 УК РФ: врач не является должностным лицом),Судебная практика (косвенная),РФ,5-й КСОУ,27.07.2023,77-1175/2023,https://nuzhenadvokat.ru/sudebnaya-praktika-obgalovaniya-prigovorov-po-st-293,"Юридический сайт (вспом., не карточка суда)",Актуально,Гл.15,Критерии должностного лица и причинно-следственной связи по ст.293 УК,C,Вторичный источник; карточка дела в ГАС «Правосудие» не открывалась — используется как косвенная иллюстрация
S040,Письмо Минздрава России от 16.07.2021 № 28-1/И/2-11090 «О методических рекомендациях „Картотека блюд диетического (лечебного) питания оптимизированного состава…“»,Письмо/методрекомендации,РФ,Минздрав России,16.07.2021,28-1/И/2-11090,https://www.garant.ru/products/ipo/prime/doc/402694474/,Гарант (вспом.),Действует,"Гл.6,10",СБКС и ВМК в питании; применимость в соцучреждениях; требования к свидетельству о госрегистрации ВМК; обзор нормативки лечебного питания,B,"Письмо — не НПА, обязательности не имеет"
S041,"The Effectiveness of International Dysphagia Diet Standardisation Initiative… (audit study, 5 aged-care facilities)",Научная публикация,Австралия/междунар.,Nutrients (PMC),2022,PMC8994209,https://pmc.ncbi.nlm.nih.gov/articles/PMC8994209/,Рецензируемая статья (PMC),Действует,"Гл.9,10",Аудит соответствия текстур по IDDSI до/после внедрения: рост соответствия с 44% до 90%; практика учреждений длительного ухода,A,-
S042,Постановление Правительства РФ от 18.05.2009 № 423 «Об отдельных вопросах осуществления опеки и попечительства в отношении несовершеннолетних граждан»,Постановление,РФ,Правительство РФ,18.05.2009,423,https://base.garant.ru/195610/,Гарант (вспом.),Действует,Гл.7,ВАЖНО: регулирует опеку только над несовершеннолетними; к взрослым подопечным не применяется,B,Используется для исключения ошибочных ссылок
S043,Материал «Правмир»: обсуждение законопроекта о сопровождаемом проживании и распределенной опеке (07.05.2023),Экспертные мнения (СМИ),РФ,Правмир,07.05.2023,-,https://www.pravmir.ru/lyudi-vyjdut-iz-pni-v-normalnuyu-zhizn-chto-izmenyat-popravki-o-soprovozhdaemom-prozhivanii/,СМИ (экспертные комментарии),Актуально,"Гл.7,18","Дискуссия о деинституционализации, рисках «фиктивного» сопровождаемого проживания, концепции распределенной опеки (законопроект прошел первое чтение в 2016, не принят)",B,Не официальный источник; только как отражение дискуссии
S044,"Приговор по ч.3 ст.159 УК РФ, дело № 1-101/2021 (хищения должностным лицом; кассационное определение)",Судебная практика (косвенная),РФ,Суд (кассация),2021–2022,1-101/2021,https://pravoilevo.ru/prigovor-po-ch-3-st-159-uk-rf-moshennichestvo-s-ispolzovaniem-sluzhebnogo-polozheniya-delo-%E2%84%96-1-101-2021/,Юридический сайт (вспом.),Актуально,Гл.15,Иллюстрация ответственности по ч.3 ст.159 УК РФ за хищения с использованием служебного положения,C,Не относится к ПНИ; косвенная иллюстрация
S045,"Hori S. et al. «Full-time dietitians at LTC facilities: analysis on the LIFE database» (medRxiv, 2025)",Научная публикация,Япония,"Hori S., Wakabayashi H., Nishioka S. et al.",01.11.2025,-,https://www.medrxiv.org/content/10.1101/2025.11.01.25339287.abstract,Рецензируемый препринт,Актуально (проверено 02.08.2026),Гл.9,Первые исследования по национальной базе LIFE: штатные диетологи и исходы; система доплат стала источником доказательств,B,Препринт medRxiv — до рецензирования
S046,"Griffin H. et al. «Supporting safe swallowing of care home residents with dysphagia» (Int J Lang Commun Disord, 2024)",Научная публикация,Великобритания,"Griffin H., Wilson J., Tingle A., Görzig A. et al.",2024,-,https://onlinelibrary.wiley.com/doi/abs/10.1111/1460-6984.13015,Рецензируемый журнал,Актуально (проверено 02.08.2026),Гл.9,Персоналу домов ухода нужна поддержка в применении IDDSI; обучение важнее оборудования,A,-
S047,"Cha S., Hazelwood R.J., Hong I. «Impact of the IDDSI framework on dysphagia risk, nutrition, and personal/environmental factors» (JKDS, 2025)",Научная публикация,Корея,"Cha S., Hazelwood R.J., Hong I.",2025,-,https://www.jkds.org/journal/view.html?uid=254,Рецензируемый журнал,Актуально (проверено 02.08.2026),"Гл.9,10",Обзор влияния IDDSI на риск дисфагии и питательный статус,A,-
S048,"Cartwright J. et al. «Maggie Beer's Big Mission: mealtime model in residential aged care» (BMC Geriatrics, 2026)",Научная публикация,Австралия,"Cartwright J., Oliver E., Whitworth A., Goldberg L.R. et al.",2026,-,https://link.springer.com/article/10.1186/s12877-026-07690-6,Рецензируемый журнал,Актуально (проверено 02.08.2026),"Гл.4,11","Мультидисциплинарная модель трапезы: выбор блюд, достоинство, системные исходы внедрения",A,-
S049,"Harstäde C.W. et al. «Mealtime situations in nursing homes from the residents' perspective» (BMC Geriatrics, 2025)",Научная публикация,Швеция,"Harstäde C.W., Andersson S., Lagerbielke E. et al.",2025,-,https://link.springer.com/article/10.1186/s12877-025-05753-8,Рецензируемый журнал,Актуально (проверено 02.08.2026),"Гл.4,11",Опыт трапезы жителей: организация приёма пищи важна не меньше меню,A,-
S050,"Seiter H.T. et al. «Weight gain under antipsychotic and mood stabilizing treatment: mechanisms and future options» (Int J Bipolar Disord, 2025)",Научная публикация,Австрия/Германия,"Seiter H.T., Fellendorf F.T., Popkova D. et al.",2025,-,https://link.springer.com/article/10.1186/s40345-025-00397-4,Рецензируемый журнал,Актуально (проверено 02.08.2026),Гл.10,Механизмы прибавки веса на антипсихотиках; мониторинг веса — плановая практика,A,-
S051,"Yoshimura Y. et al. «Protein supplementation for sarcopenia and physical frailty: SR/MA of RCTs» (Arch Gerontol Geriatr, 2025)",Научная публикация,Япония,"Yoshimura Y., Matsumoto A., Inoue T. et al.",2025,-,https://www.sciencedirect.com/science/article/pii/S016749432500041X,Рецензируемый журнал,Актуально (проверено 02.08.2026),"Гл.5,10",Метаанализ РКИ: белковая поддержка при саркопении; обоснование белкового резерва меню,A,-
